127.0.0.1, 2018-04-07 19:12:37, GET, /, HTTP/1.1, 303, 0.008150
127.0.0.1, 2018-04-07 19:12:37, GET, /welcome/default/index, HTTP/1.1, 200, 0.337249
127.0.0.1, 2018-04-07 19:12:37, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000747
127.0.0.1, 2018-04-07 19:12:37, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000500
127.0.0.1, 2018-04-07 19:12:37, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000543
127.0.0.1, 2018-04-07 19:12:37, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.004055
127.0.0.1, 2018-04-07 19:12:37, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000661
127.0.0.1, 2018-04-07 19:12:37, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002006
127.0.0.1, 2018-04-07 19:12:37, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001876
127.0.0.1, 2018-04-07 19:12:37, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000575
127.0.0.1, 2018-04-07 19:12:37, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000658
127.0.0.1, 2018-04-07 19:12:37, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000514
127.0.0.1, 2018-04-07 19:12:38, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001519
127.0.0.1, 2018-04-07 19:12:38, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000967
127.0.0.1, 2018-04-07 19:12:38, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001040
127.0.0.1, 2018-04-07 19:12:38, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000798
127.0.0.1, 2018-04-07 19:12:41, GET, /admin/default/index, HTTP/1.1, 200, 0.226465
127.0.0.1, 2018-04-07 19:12:41, GET, /admin/static/_2.16.1/css/calendar.css, HTTP/1.1, 200, 0.001666
127.0.0.1, 2018-04-07 19:12:41, GET, /admin/static/_2.16.1/js/calendar.js, HTTP/1.1, 200, 0.001067
127.0.0.1, 2018-04-07 19:12:41, GET, /admin/static/_2.16.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.003271
127.0.0.1, 2018-04-07 19:12:41, GET, /admin/static/_2.16.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001717
127.0.0.1, 2018-04-07 19:12:41, GET, /admin/static/_2.16.1/js/web2py.js, HTTP/1.1, 200, 0.003591
127.0.0.1, 2018-04-07 19:12:41, GET, /admin/static/_2.16.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000740
127.0.0.1, 2018-04-07 19:12:41, GET, /admin/static/_2.16.1/js/jquery.js, HTTP/1.1, 200, 0.005414
127.0.0.1, 2018-04-07 19:12:41, GET, /admin/static/_2.16.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.000618
127.0.0.1, 2018-04-07 19:12:41, GET, /admin/static/_2.16.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000547
127.0.0.1, 2018-04-07 19:12:41, GET, /admin/static/_2.16.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000622
127.0.0.1, 2018-04-07 19:12:41, GET, /admin/static/_2.16.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002168
127.0.0.1, 2018-04-07 19:12:41, GET, /admin/static/_2.16.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000552
127.0.0.1, 2018-04-07 19:12:41, GET, /admin/static/_2.16.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.012961
127.0.0.1, 2018-04-07 19:12:41, GET, /admin/static/_2.16.1/images/questions.png, HTTP/1.1, 200, 0.000806
127.0.0.1, 2018-04-07 19:12:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000325
127.0.0.1, 2018-04-07 19:12:44, GET, /welcome/default/index, HTTP/1.1, 200, 0.024703
127.0.0.1, 2018-04-07 19:15:14, GET, /start/, HTTP/1.1, 200, 0.103651
127.0.0.1, 2018-04-07 19:15:14, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.001355
127.0.0.1, 2018-04-07 19:15:14, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.003410
127.0.0.1, 2018-04-07 19:15:14, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.001365
127.0.0.1, 2018-04-07 19:15:14, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.003504
127.0.0.1, 2018-04-07 19:15:14, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.003149
127.0.0.1, 2018-04-07 19:15:14, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.011110
127.0.0.1, 2018-04-07 19:15:14, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.000517
127.0.0.1, 2018-04-07 19:15:14, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.000859
127.0.0.1, 2018-04-07 19:15:14, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.001105
127.0.0.1, 2018-04-07 19:15:14, GET, /start/static/js/vue.js, HTTP/1.1, 200, 0.001257
127.0.0.1, 2018-04-07 19:15:14, GET, /start/static/js/default_index.js, HTTP/1.1, 200, 0.000690
127.0.0.1, 2018-04-07 19:15:14, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.000737
127.0.0.1, 2018-04-07 19:15:14, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.000531
127.0.0.1, 2018-04-07 19:15:14, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000571
127.0.0.1, 2018-04-07 19:15:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000270
