127.0.0.1, 2018-04-02 09:35:27, GET, /, HTTP/1.1, 303, 0.836000
127.0.0.1, 2018-04-02 09:35:29, GET, /welcome/default/index, HTTP/1.1, 200, 1.588000
127.0.0.1, 2018-04-02 09:35:29, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 09:35:29, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 09:35:29, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 09:35:29, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-02 09:35:29, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 09:35:29, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 09:35:29, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 09:35:29, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 09:35:29, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 09:35:29, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 09:35:30, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-02 09:35:30, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 09:35:30, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 09:35:34, GET, /start/, HTTP/1.1, 200, 1.385000
127.0.0.1, 2018-04-02 09:35:34, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-04-02 09:35:34, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-04-02 09:35:34, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-04-02 09:35:34, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-02 09:35:34, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-04-02 09:35:34, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-04-02 09:35:34, GET, /start/static/js/default_index.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-04-02 09:35:34, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.016000
127.0.0.1, 2018-04-02 09:35:34, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.025000
127.0.0.1, 2018-04-02 09:35:34, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.026000
127.0.0.1, 2018-04-02 09:35:34, GET, /start/static/js/vue.js, HTTP/1.1, 200, 0.034000
127.0.0.1, 2018-04-02 09:35:34, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.038000
127.0.0.1, 2018-04-02 09:35:34, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.032000
127.0.0.1, 2018-04-02 09:35:34, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-02 09:35:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-19 14:57:54, GET, /, HTTP/1.1, 303, 0.017000
127.0.0.1, 2018-04-19 14:57:56, GET, /welcome/default/index, HTTP/1.1, 200, 1.579000
127.0.0.1, 2018-04-19 14:57:56, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.010000
127.0.0.1, 2018-04-19 14:57:56, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.022000
127.0.0.1, 2018-04-19 14:57:56, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.028000
127.0.0.1, 2018-04-19 14:57:56, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.013000
127.0.0.1, 2018-04-19 14:57:56, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.067000
127.0.0.1, 2018-04-19 14:57:56, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.075000
127.0.0.1, 2018-04-19 14:57:56, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.032000
127.0.0.1, 2018-04-19 14:57:56, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.078000
127.0.0.1, 2018-04-19 14:57:56, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.101000
127.0.0.1, 2018-04-19 14:57:56, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.144000
127.0.0.1, 2018-04-19 14:57:57, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.022000
127.0.0.1, 2018-04-19 14:57:57, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.029000
127.0.0.1, 2018-04-19 14:57:57, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.039000
127.0.0.1, 2018-04-19 14:57:57, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-04-19 16:52:16, GET, /, HTTP/1.1, 303, 0.017000
127.0.0.1, 2018-04-19 16:52:18, GET, /welcome/default/index, HTTP/1.1, 200, 1.512000
